acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.0185,['Niall Horan'  'Oliver Nelson'],0.668,158200,0.827,0,7A4wLhS8lDGax88SOT0FD8,0.000107,2,0.337,-5.405,1,Black And White - Oliver Nelson Remix,42,6/9/2020,0.13,110.075,0.666,2020
0.0714,['Don Toliver'],0.743,171210,0.753,1,79EVtighsMYkWahVb9MnF8,3.02E-06,1,0.088,-4.479,1,Wasted,66,3/13/2020,0.0424,157.046,0.697,2020
0.125,['Pop Smoke'],0.548,127547,0.732,1,792HwhrdO3ErRKL5yRe4Ge,0,11,0.269,-5.652,0,Invincible,72,2/7/2020,0.336,142.791,0.612,2020
0.127,['Doja Cat'],0.707,134240,0.955,0,78qd8dvwea0Gosb6Fe6j3k,0,10,0.202,-4.593,0,Boss Bitch,92,1/23/2020,0.222,125.989,0.575,2020
0.00173,['I Prevail'  'Joyner Lucas'],0.372,218571,0.479,0,78fUyqhfdpL5aaD12QSGCi,0.00018,2,0.147,-8.218,1,DOA Feat. Joyner Lucas,68,5/28/2020,0.0411,175.134,0.08,2020
0.0897,['Flight'],0.777,208771,0.752,1,77N3t8CNrUQV2f2SLQzs9Q,0,4,0.111,-5.795,1,Disingenuous,69,4/20/2020,0.223,92.015,0.451,2020
0.0485,['Jonas Brothers'  'KAROL G'],0.715,185277,0.827,0,77fvnWALKJR0ws1VUx09CY,3.61E-05,4,0.321,-5.09,0,X (with KAROL G),82,5/15/2020,0.0617,117.977,0.75,2020
0.921,['ROSALÃA'],0.442,214012,0.267,0,76WMWYa1iqRTHZotPuuEuc,1.73E-05,6,0.121,-9.64,0,Catalina,0,6/5/2020,0.0582,78.171,0.322,2020
0.00775,['Ava Max'],0.638,162399,0.688,0,76nqCfJOcFFWBJN32PAksn,0,1,0.126,-4.056,0,Kings & Queens,89,3/12/2020,0.0407,129.856,0.434,2020
0.61,['Arijit Singh'],0.446,307840,0.533,0,75qEWw7eEVft4Euneczxsh,0,9,0.411,-8.229,1,Abar Phire Ele,1,6/8/2020,0.0381,156.082,0.169,2020
0.438,['Justin Bieber'  'Lil Dicky'],0.774,179627,0.603,0,75nKBP8jQu681pTNCtrEnn,4.37E-05,11,0.0869,-7.319,1,Running Over (feat. Lil Dicky),69,2/14/2020,0.0591,149.982,0.977,2020
0.856,['JhenÃ© Aiko'  'Big Sean'],0.437,259387,0.517,1,75MSZRbAbQuzfUV3Pefvut,0,9,0.109,-9.329,0,None Of Your Concern (feat. Big Sean),69,3/6/2020,0.225,82.757,0.373,2020
0.0306,['Stevie Wonder'],0.618,266173,0.655,0,75M5Bh6molSiGezDVzjnyN,0.00285,1,0.042,-11.324,1,Superstition - Single Version,0,6/12/2020,0.078,100.671,0.854,2020
0.0409,['Nicki Minaj'],0.911,156882,0.637,1,75dLEqanQTupF3dtP9exT5,3.68E-05,8,0.238,-8.381,1,Yikes,77,2/7/2020,0.447,149.996,0.66,2020
0.00487,['Eminem'],0.89,247733,0.664,1,74gykWHknHDrg4eMdcmdRq,0,4,0.257,-6.625,0,Farewell,69,1/17/2020,0.106,93.007,0.467,2020
0.63,['Ali Gatie'],0.605,193668,0.365,0,74D7JUfU6HYeMx4bZhsHnG,6.83E-06,7,0.0554,-11.144,1,What If I Told You That I Love You,78,1/24/2020,0.111,84.628,0.224,2020
0.0349,['Kygo'  'Sandro Cavazza'],0.614,217766,0.709,0,745bEQatiiXDtBe1AdQY2P,0,11,0.0904,-5.742,0,Beautiful,72,5/29/2020,0.0428,123.843,0.269,2020
0.237,['Future'  'YoungBoy Never Broke Again'],0.768,167552,0.526,1,740kQ8xwSGloumdiKR5Cwz,0,0,0.139,-7.182,1,Trillionaire (feat. Youngboy Never Broke Again),79,5/15/2020,0.209,139.999,0.473,2020
0.739,['Mt. Joy'],0.564,193187,0.636,0,73WyCOipkJRtIH8klizJd5,0.0224,7,0.0807,-8.136,1,Strangers,64,2/19/2020,0.0418,101.913,0.218,2020
0.179,['Imanbek'  'Martin Jensen'],0.736,164885,0.657,1,73ThEGwF5i9GrsXXGyZBRa,4.29E-06,0,0.118,-7.512,1,I'm Just Feelin' (Du Du Du),79,5/1/2020,0.0668,115.989,0.548,2020
0.917,['Billie Eilish'],0.38,242265,0.219,0,73SpzrcaHk0RQPFP73vqVR,0.0104,4,0.0827,-13.273,0,No Time To Die,84,2/13/2020,0.0358,73.537,0.0517,2020
0.559,['Fiona Apple'],0.528,237713,0.504,0,73SBAGI4fPFm4VkB3NjXq8,0.0414,9,0.0936,-8.821,0,I Want You To Love Me,64,4/17/2020,0.09,141.369,0.712,2020
0.23,['Sam Hunt'],0.689,204760,0.689,0,73nVXVgoqOuZfdbtONnWVE,0,4,0.57,-5.517,1,Hard To Forget,67,2/7/2020,0.045,130.069,0.664,2020
0.0814,['Ricky Martin'  'Farruko'],0.755,209373,0.835,0,73HSOVmGMA0Qfo4ujlM1GF,0,0,0.116,-2.474,1,Tiburones - Remix,72,4/10/2020,0.172,96.037,0.582,2020
0.173,['Kygo'  'Zac Brown'],0.612,223716,0.686,0,73h6Ma5QhBFrshEN2CTevS,0,7,0.141,-6.838,1,Someday,71,5/29/2020,0.12,122.115,0.326,2020
0.371,['YoungBoy Never Broke Again'],0.623,161019,0.721,1,73C80fhriFzangrzWVO4Zp,0,10,0.109,-4.584,0,Rough Ryder,64,4/24/2020,0.339,166.637,0.719,2020
0.517,['A Boogie Wit da Hoodie'  'London On Da Track'  'Roddy Ricch'  'Gunna'],0.819,188563,0.654,1,733c1CWmIGymoQXdp7Us88,0,11,0.0996,-6.665,0,Numbers (feat. Roddy Ricch  Gunna and London On Da Track),80,2/14/2020,0.136,133.503,0.455,2020
0.219,['Alejandro FernÃ¡ndez'  'Morat'],0.691,226827,0.875,0,72OKfTo4k4FfmWZ7uC93mc,0,9,0.0949,-4.282,1,SÃ© Que Te Duele,0,6/5/2020,0.0745,94.961,0.794,2020
0.574,['Porte Diferente'],0.811,228466,0.58,0,72jvp2nP4zstRmFdhyWgGu,0,6,0.0748,-4.776,0,Por Tu Culpa,60,4/24/2020,0.065,79.952,0.659,2020
0.982,['Frank Ocean'],0.35,202200,0.12,0,72794Eag03xdy7TO0KNuid,0.000289,3,0.103,-11.104,0,Cayendo (Side A - Acoustic),72,4/3/2020,0.0393,68.995,0.121,2020
0.062,['IZ*ONE'],0.758,217760,0.927,0,71vPAjlG1x606483GTJNhY,0,7,0.343,-2.105,1,FIESTA,71,2/17/2020,0.0537,122.999,0.738,2020
0.885,['JhenÃ© Aiko'  'Nas'],0.663,257987,0.41,0,71qTg1coMAqpmwIlVVayoV,0.000667,6,0.137,-9.589,0,10k Hours (feat. Nas),63,3/6/2020,0.367,89.113,0.324,2020
0.0493,['JayDaYoungan'],0.794,145735,0.48,1,71nTxcMe1XFRmzWxRYHEeJ,0,4,0.12,-7.501,0,Step,52,6/5/2020,0.132,77.045,0.45,2020
0.201,['Myke Towers'  'Maluma'  'Farruko'],0.775,250333,0.633,1,70zg99pT51vB4wlMS7e4q7,0,10,0.219,-3.332,0,La Playa - Remix,78,1/3/2020,0.133,140.008,0.394,2020
0.105,['Ro James'  'Miguel'],0.632,198496,0.652,0,706gnbpwqU3d40an3oxMWm,3.95E-06,8,0.444,-4.003,1,Too Much,63,5/21/2020,0.0575,132.985,0.305,2020
0.00618,['Dua Lipa'],0.875,184882,0.813,0,6zrJLhslleCHby0wbUnvVy,0,7,0.321,-4.502,1,Future Nostalgia,75,3/27/2020,0.0578,114.993,0.859,2020
0.879,['The 1975'],0.525,264007,0.286,0,6zjBevD0Y6eCbOXaqQ79Xj,0.00799,2,0.334,-15.92,1,Jesus Christ 2005 God Bless America,65,5/22/2020,0.0347,78.945,0.574,2020
0.05,['Justin Bieber'  'Kehlani'],0.824,185419,0.503,0,6zGPytJiZmFuyVq7RTNO9G,5.25E-05,6,0.107,-6.94,0,Get Me,67,1/28/2020,0.156,109.397,0.784,2020
0.00369,['Louis The Child'  'Vera Blue'],0.705,176163,0.76,0,6ZGO8DVU5ZrpEAzNjTO0Kc,0.000673,0,0.445,-3.587,1,Nobody Like You (with Vera Blue),65,5/18/2020,0.0506,103.911,0.361,2020
0.0303,['Migos'  'Travis Scott'  'Young Thug'],0.904,224243,0.627,1,6ZelF5APDN5r6XnFqcnvWR,5.68E-06,1,0.0923,-5.608,1,Give No Fxk,73,2/14/2020,0.222,145.976,0.236,2020
0.48,['Anuel AA'],0.694,212312,0.796,1,6yVkakCN460KOVol9ZazjH,0.000384,6,0.108,-4.164,1,Reggaetonera,80,5/29/2020,0.0565,93.064,0.515,2020
0.312,['Natanael Cano'  'Porte Diferente'],0.803,197586,0.578,0,6YviOFfwGAS5ZFLaWiVXNo,2.27E-06,5,0.169,-6.444,0,No Soy Lo Que Piensas,65,2/14/2020,0.0316,95.083,0.584,2020
0.0748,['Troye Sivan'],0.364,249370,0.606,0,6YndZBGmLySgsVScckWkmO,0.000322,5,0.106,-9.188,0,Take Yourself Home,75,4/1/2020,0.0831,99.73,0.289,2020
0.159,['Lil Uzi Vert'],0.842,196639,0.556,1,6YAxCn4juTWn5hWl2hzHGw,0,8,0.204,-6.793,1,You Better Move,69,3/6/2020,0.442,118.836,0.306,2020
0.32,['Twenty One Pilots'],0.754,220051,0.583,0,6xZ4Q2k2ompmDppyeESIY8,0.00015,4,0.144,-7.34,0,Level of Concern,86,4/9/2020,0.0432,122.012,0.77,2020
0.44,['Selena Gomez'],0.71,226003,0.808,0,6XXYdF6pJR1K3wKvuxmu7n,0.000773,2,0.0734,-6.703,0,Feel Me,75,2/21/2020,0.0433,99.989,0.392,2020
0.164,['NAV'],0.863,134622,0.866,1,6xWqaVbmZJqEbUpFlIGiHK,0,3,0.201,-4.313,1,Brown Boy,64,5/8/2020,0.121,147.055,0.873,2020
0.827,['Joshua Bassett'],0.524,166646,0.156,0,6XoOA62cqX4CFtfidTIxbj,9.25E-05,7,0.116,-13.419,1,Common Sense,64,4/3/2020,0.035,150.093,0.41,2020
0.404,['JayDaYoungan'  'Kevin Gates'],0.76,214000,0.494,1,6XN3noHv18duuE7ZTR2bVV,0,5,0.0595,-11.633,1,Peer Pressure (feat. Kevin Gates),52,6/5/2020,0.148,119.918,0.503,2020
0.847,['Majestic Sleep'],0.137,193548,0.154,0,6xCgUaot7EEpxQRGtW7S0O,0.859,0,0.106,-25.122,1,Vast Surroundings,64,3/30/2020,0.0444,168.831,0.0451,2020
0.426,['Phoebe Bridgers'],0.509,190093,0.653,0,6Xa2Y4EP6wossxPv1kUy2c,0.00527,2,0.103,-8.075,1,I See You,63,5/19/2020,0.032,133.977,0.407,2020
0.335,['Eslabon Armado'],0.681,226821,0.664,1,6WYB1odDfMPVMyp1QxFInT,0,6,0.0418,-8.019,0,Con Tus Besos,78,4/6/2020,0.0353,102.166,0.861,2020
0.0264,['Diplo'  'Thomas Rhett'  'Young Thug'],0.73,170158,0.792,0,6wXgnhpmOPEJ7cUweSyy2B,0,6,0.101,-5.33,0,Dance with Me (feat. Thomas Rhett & Young Thug),76,5/27/2020,0.13,99.039,0.745,2020
0.995,['Pamela Goldings'],0.261,206500,0.0411,0,6wqnYzf6QuiJo2BMkn3cXT,0.929,1,0.101,-26.863,1,The Cottage,67,5/15/2020,0.0622,199.838,0.235,2020
0.207,['Lil Mosey'],0.774,162547,0.554,1,6wJYhPfqk3KGhHRG76WzOh,0,0,0.132,-7.909,1,Blueberry Faygo,92,2/7/2020,0.0383,99.034,0.349,2020
0.107,['Joyner Lucas'  'Will Smith'],0.766,164476,0.579,0,6WI33r2QRxyxttn3KH0XkC,0.000642,9,0.143,-8.426,0,Will - Remix,79,5/15/2020,0.287,142.932,0.217,2020
0.479,['PARTYNEXTDOOR'  'Drake'  'Bad Bunny'],0.877,281120,0.529,1,6WGTfHSQtUcEx5vgpxTLCs,0.00159,0,0.094,-6.235,0,LOYAL (feat. Drake and Bad Bunny) - Remix,71,3/27/2020,0.0461,104.984,0.422,2020
0.00383,['Christian French'],0.675,202779,0.695,0,6wFqLYmiXyGvprbWa4ogm8,3.00E-05,7,0.0637,-7.859,0,i think too much,64,4/17/2020,0.0757,92.01,0.663,2020
0.0226,['Tame Impala'],0.381,194707,0.829,0,6WCXBUFa0z3l9DoOY3k5Xe,0.000274,10,0.402,-4.564,1,Instant Destiny,64,2/14/2020,0.0598,165.935,0.509,2020
0.0134,['Lil Durk'],0.545,192000,0.523,1,6w8vxB8I2QKZupDfxg9QTe,0,1,0.109,-8.146,1,Viral Moment,64,5/8/2020,0.368,159.076,0.264,2020
0.297,['Lil Peep'],0.522,247453,0.546,1,6w1k5KDajzJSqPJzMYsQhA,0,3,0.7,-9.528,1,crybaby,69,6/10/2020,0.0514,96.957,0.234,2020
0.000364,['Avicii'],0.52,204375,0.823,0,6VZZHYxhvOnP9hD0Micoz6,0.289,0,0.14,-5.152,1,Last Dance - Radio Edit,1,6/12/2020,0.0363,127.981,0.158,2020
0.466,['YoungBoy Never Broke Again'  'Sherhonda Gaulden'],0.579,187141,0.565,1,6vXJljkoTUWjPXFRfuBbgZ,0,11,0.226,-6.901,1,Bout My Business (feat. Sherhonda Gaulden),63,4/24/2020,0.418,83.973,0.631,2020
0.0476,['Apollo Fresh'],0.787,105384,0.525,1,6VOq2z5qEUPNFXEz1qACSl,0,1,0.601,-9.23,1,JoJo Pose,69,1/13/2020,0.146,133.997,0.366,2020
0.169,['Anuel AA'  'Travis Barker'],0.693,213949,0.558,0,6VN85VvNB8w1QbJCXW8rTC,0,9,0.0867,-5.664,1,No Llores Mujer,71,5/29/2020,0.0366,77.968,0.298,2020
0.00181,['Wiz Khalifa'  'Tyga'],0.84,155913,0.692,1,6vMQLnaxlPQwlyCXpRtTV0,0,8,0.344,-5.399,1,Contact (feat. Tyga),68,4/20/2020,0.0356,100.046,0.145,2020
0.0547,['Cali Y El Dandee'  'Juan MagÃ¡n'  'Sebastian Yatra'],0.64,249880,0.82,0,6VLZWI6Jy1hMgAEXr4EFeb,0,11,0.198,-3.624,1,Por Fin Te EncontrÃ©,6,6/12/2020,0.232,179.988,0.858,2020
0.616,['Alejandro FernÃ¡ndez'],0.535,326840,0.327,0,6vBgYbRLVm1zpPxSzeau8B,0,0,0.107,-10.192,1,Me OlvidÃ© De Vivir,2,6/5/2020,0.0357,123.9,0.338,2020
0.0829,['Polo G'],0.796,176543,0.612,1,6V1Jx3o0S2MtBI9yIDXsJS,0,1,0.0607,-6.994,1,Trials & Tribulations,70,5/15/2020,0.433,87.542,0.545,2020
0.037,['Luis Fonsi'  'Demi Lovato'],0.713,175320,0.916,0,6uucEwcgf2ArfdUaOu5nCW,0,0,0.0681,-3.31,1,Ã‰chame La Culpa,0,6/5/2020,0.0401,95.996,0.669,2020
