acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.117,['Bad Bunny'],0.71,159282,0.81,1,7sOfmPd18RWp3FoCzpa7Kw,0.000132,2,0.154,-5.507,1,SoliÃ¡,78,2/28/2020,0.0854,92.041,0.184,2020
0.189,['TiÃ«sto'  'ILIRA'],0.704,148329,0.899,0,7sFk2PA3NsrrSsGa4CM3rs,2.43E-05,6,0.228,-5.61,0,Lose You,73,5/15/2020,0.178,123.028,0.576,2020
0.651,['Arijit Singh'  'Shreya Ghoshal'],0.614,351269,0.711,0,7sDgbRK5NTqg3YA78uanMt,8.06E-05,5,0.0862,-8.425,1,Balir Shohor Female,0,6/11/2020,0.0695,107.961,0.718,2020
0.203,['Dean Lewis'],0.517,242480,0.755,0,7rwryNiTfPeqDWPHLQI0VM,0,11,0.0723,-5.888,0,Waves,2,6/12/2020,0.0423,157.011,0.37,2020
0.281,['22Gz'],0.83,190746,0.574,1,7rWLqeQJabrK7FbY8X0TyI,0,11,0.124,-6.892,1,Suburban  Pt. 2,70,4/10/2020,0.701,143.892,0.538,2020
0.102,['Lil Tecca'  'Internet Money'],0.732,153597,0.654,1,7rTzrRdc5UbvLr0gwI1J3E,0,7,0.215,-6.136,0,Out Of Love (feat. Internet Money),81,4/17/2020,0.045,138.049,0.369,2020
0.128,['Epic Soundscapes'],0.069,252330,1,0,7rQ1E6bl6UMhrRhf8quVIR,0.944,6,0.953,-14.577,1,Heavy Rain,72,2/23/2020,0.0514,77.22,1.00E-05,2020
0.0718,['EGOVERT'],0.873,100765,0.389,1,7rldNiY6em6LIg8LJauLFQ,1.32E-05,0,0.124,-12.658,0,Velvet!,69,2/24/2020,0.428,105.094,0.625,2020
0.308,['Elderbrook'],0.77,230040,0.482,0,7rBpjxstrSsuOLqnuOC028,0.0802,0,0.0927,-9.796,0,Numb,72,3/6/2020,0.0903,120.006,0.189,2020
0.0694,['mike.'],0.805,183200,0.554,1,7rb09YimksJ3XH7mmT0Uwv,1.10E-05,7,0.0718,-6.232,0,2 birds,63,5/29/2020,0.071,100.949,0.316,2020
0.0484,['Kenny Chesney'],0.509,171493,0.814,0,7qRVyZDt1Caftkk8CQlKtk,0,9,0.12,-3.576,1,Here And Now,71,5/1/2020,0.0532,148.034,0.712,2020
0.448,['Doja Cat'  'Jax Jones'],0.798,210492,0.51,0,7qrO2oI0A9DW6wQPjSADxx,0.00312,11,0.094,-10.074,0,Say So (Jax Jones Midnight Snack Remix),71,1/17/2020,0.064,121.923,0.401,2020
0.991,['Desolate Horizons'],0.153,160000,0.214,0,7qrFwjD4GmpDli3OmAAkCY,0.944,4,0.133,-28.989,0,More Than Anything,64,1/10/2020,0.0415,68.834,0.0328,2020
0.00341,['Moneybagg Yo'  'Lil Baby'],0.874,164754,0.847,1,7qeWNGBqqagdwf4KnjRzGZ,0,2,0.29,-3.574,1,U Played (feat. Lil Baby),72,1/10/2020,0.233,134.965,0.881,2020
0.545,['Dean Lewis'],0.557,198253,0.586,1,7qdodwVphP7Zy4toflbOyj,0,11,0.0719,-5.902,1,Be Alright,1,6/12/2020,0.0374,126.529,0.456,2020
0.0704,['Gunna'],0.793,165680,0.536,1,7qaoXmlsSrndaQeDRPpOeW,3.86E-06,5,0.171,-7.624,0,FEIGNING,71,5/22/2020,0.103,78.006,0.382,2020
0.0169,['Lil Baby'],0.827,205760,0.552,1,7nk0dNiKc4rB9jTiXT3V46,0,4,0.122,-7.571,0,Sum 2 Prove,63,5/1/2020,0.274,124.011,0.408,2020
0.0217,['Rauw Alejandro'],0.755,202887,0.617,0,7na7Bk98usp84FaOJFPv3d,0,9,0.0625,-5.144,1,Tattoo,89,2/13/2020,0.182,193.896,0.745,2020
0.00557,['Avicii'],0.46,245493,0.85,0,7n3LYEXbAPJIIdYhBN4pzG,0.00533,2,0.217,-3.176,1,Wake Me Up - Radio Edit,1,6/12/2020,0.0616,124.014,0.557,2020
0.0337,['Tory Lanez'],0.67,144098,0.634,1,7n0lXKEOaFxrAU0R93fIQh,0,8,0.0714,-6.682,1,Do The Most,74,4/10/2020,0.294,204.113,0.375,2020
